
2025/02/13 (22:41:34) | ===> btop++ v.1.4.0
2025/02/13 (22:41:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:41:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:42:15) | ===> btop++ v.1.4.0
2025/02/13 (22:42:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:42:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:43:55) | ===> btop++ v.1.4.0
2025/02/13 (22:43:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:43:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:45:49) | ===> btop++ v.1.4.0
2025/02/13 (22:45:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:45:50) | WARNING: Intel GPU: Failed to initialize PMU
