
2024/07/22 (10:27:18) | ===> btop++ v.1.3.2
2024/07/22 (10:27:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (10:27:56) | ===> btop++ v.1.3.2
2024/07/22 (10:27:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (10:43:32) | ===> btop++ v.1.3.2
2024/07/22 (10:43:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (11:25:37) | ===> btop++ v.1.3.2
2024/07/22 (11:25:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (11:30:19) | ===> btop++ v.1.3.2
2024/07/22 (11:30:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (11:30:35) | ===> btop++ v.1.3.2
2024/07/22 (11:30:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (11:30:48) | ===> btop++ v.1.3.2
2024/07/22 (11:30:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (11:33:53) | ===> btop++ v.1.3.2
2024/07/22 (11:33:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (11:19:36) | ===> btop++ v.1.3.2
2024/07/30 (11:19:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:35:02) | ===> btop++ v.1.3.2
2024/08/07 (10:35:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:36:26) | ===> btop++ v.1.3.2
2024/08/07 (10:36:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:39:50) | ===> btop++ v.1.3.2
2024/08/07 (10:39:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
